Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,2.0957417980186777,0.95,1.7142250820357703,2.4603716663314623,1,0.95,-0.1,0.1,0,1.001947623871019,656.9167955221836
b_non_repro_connectivity_sc,0.04256663767317476,0.95,-0.3617531004429573,0.4160254658252746,0.5845,0.95,-0.1,0.1,0.4086842105263158,1.0024516298761503,1081.1904252669947
b_dbh_sc,0.3796177246345974,0.95,-0.008740882592547718,0.7790165642722976,0.97475,0.95,-0.1,0.1,0.04763157894736842,1.003260796056855,929.3817391649608
