Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,-1.8250626430949881,0.95,-2.068592468830865,-1.5916372685765787,1,0.95,-0.1,0.1,0,1.0053200775003814,907.9709473904234
b_non_repro_connectivity_sc,0.09166696509633702,0.95,-0.1568001327947018,0.3522140767076401,0.78025,0.95,-0.1,0.1,0.4971052631578947,1.0031526238598552,1011.0004783815142
b_dbh_sc,0.22845896593550488,0.95,0.0019633767095936176,0.4455088335796179,0.97575,0.95,-0.1,0.1,0.09894736842105263,1.0057413915924232,985.1968838361101
b_year2023,0.6684096879268198,0.95,0.5523363571554325,0.7765215583845341,1,0.95,-0.1,0.1,0,1.0023793211139915,3969.7634292793064
