Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,-0.43662325915020106,0.95,-0.6513287557832549,-0.2200552870946293,1,0.95,-0.1,0.1,0,1.0020375848029732,971.1667492103747
b_repro_connectivity_sc,-0.0593818159593754,0.95,-0.2359605191480488,0.11794935684409787,0.748,0.95,-0.1,0.1,0.671578947368421,1.000299366611133,1541.5407428272913
b_non_repro_connectivity_sc,0.21088248626575762,0.95,-0.004794979796315985,0.39726968716247285,0.9765,0.95,-0.1,0.1,0.1186842105263158,1.0020569212438526,1208.780273127084
b_dbh_sc,0.07863762798146633,0.95,-0.13507425998346936,0.2870655528803568,0.7665,0.95,-0.1,0.1,0.5521052631578948,1.0019330778728845,1216.6434186000783
b_year2023,-0.7994264766647274,0.95,-0.884342289530721,-0.7132284601042849,1,0.95,-0.1,0.1,0,1.0006767514382406,3271.0984867233115
