Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,-0.4324819378201542,0.95,-0.6645038502467256,-0.23361343773405485,0.99975,0.95,-0.1,0.1,0,1.0042049205334347,850.1585487480897
b_non_repro_connectivity_sc,0.1946248068336064,0.95,0.009069945612491755,0.3962161215905046,0.974,0.95,-0.1,0.1,0.13842105263157894,1.0041145994198688,1061.4864335322338
b_dbh_sc,0.08629077282615391,0.95,-0.12686485423977523,0.3107722915360304,0.77775,0.95,-0.1,0.1,0.5342105263157895,1.0006046528682375,835.4631941796204
b_year2023,-0.7975585950758668,0.95,-0.8905226058553486,-0.715172461064124,1,0.95,-0.1,0.1,0,1.0001051934560474,3024.7305297551193
