Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,-1.8241055510352076,0.95,-2.0601348973864484,-1.5926269357654546,1,0.95,-0.1,0.1,0,1.0071656386633172,929.5363467435543
b_repro_connectivity_sc,0.29870827978299364,0.95,0.07535066435340977,0.5184307053763278,0.9945,0.95,-0.1,0.1,0.015263157894736841,1.0006965665324516,1202.7120275162852
b_dbh_sc,0.25870802296068374,0.95,0.04988336740704604,0.445584874620943,0.99525,0.95,-0.1,0.1,0.030263157894736843,1.0017821077141666,926.3927341766193
b_year2023,0.6660815794946929,0.95,0.5610534219914111,0.7774526692727837,1,0.95,-0.1,0.1,0,0.9993153044213454,4308.431010125443
