Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,-0.43405161798347114,0.95,-0.6702900008138739,-0.19450232719633698,0.999,0.95,-0.1,0.1,0,1.0031065587030084,653.320613872066
b_repro_connectivity_sc,-0.0335406381773084,0.95,-0.22166557831250444,0.15251027451354157,0.6385,0.95,-0.1,0.1,0.7118421052631579,1.0083550706042557,915.8808674291879
b_dbh_sc,0.036324574075878434,0.95,-0.191150146167399,0.2654584737906066,0.62775,0.95,-0.1,0.1,0.6473684210526316,1.0074253142630267,859.5957363769488
b_year2023,-0.8027972678169752,0.95,-0.8950359063683399,-0.7195801085442832,1,0.95,-0.1,0.1,0,0.9998790465266549,3358.8156441841475
