Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,4.619006076395573,0.95,4.1614029318995716,5.081142110621572,1,0.95,-0.1,0.1,0,1.0020817399802466,1600.1324710260121
b_exclusionTRUE,-2.9977926322376884,0.95,-3.348636402352169,-2.68306316679479,1,0.95,-0.1,0.1,0,1.000116143328223,3814.951167558279
b_repro_connectivity_sc,0.3510933955474035,0.95,-0.01462413958347183,0.7287451646729748,0.96875,0.95,-0.1,0.1,0.06342105263157895,1.0001096415923734,1552.075865885437
b_non_repro_connectivity_sc,0.166832347267586,0.95,-0.19117368497908382,0.5180983413842162,0.8265,0.95,-0.1,0.1,0.29947368421052634,1.0010589435424209,1382.6940255367235
b_dbh_sc,0.2907930039987098,0.95,-0.07033123897951607,0.6340012957801059,0.95225,0.95,-0.1,0.1,0.11263157894736842,1.0035736711782066,1276.5955319979491
