Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,-1.3793564788368404,0.95,-1.6997005784681967,-1.0514513014261766,1,0.95,-0.1,0.1,0,1.0000107250034882,939.9542737953554
b_repro_connectivity_sc,0.40425258929564745,0.95,0.07872312045751667,0.7155953332060621,0.99325,0.95,-0.1,0.1,0.004736842105263158,1.000560575041513,1454.7679902239524
b_non_repro_connectivity_sc,-0.17878198035555123,0.95,-0.49919148197472785,0.1557304851386047,0.865,0.95,-0.1,0.1,0.2752631578947368,1.0009083440329078,1098.2178149244182
b_dbh_sc,0.2726509713337675,0.95,-0.06012997209417026,0.5968104274978758,0.94125,0.95,-0.1,0.1,0.13394736842105262,1.0042131091814672,829.6460473574544
