Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,-1.8371167565983633,0.95,-2.096289151606744,-1.5476572871890524,1,0.95,-0.1,0.1,0,1.0067599927349558,699.7527596716109
b_connectivity_sc,0.17738120042766414,0.95,-0.20807001826419705,0.5992040442642586,0.81325,0.95,-0.1,0.1,0.2694736842105263,1.00721873291608,875.9657913119967
b_dbh_sc,0.213850804098301,0.95,-0.06454783762001555,0.48493750344837006,0.93475,0.95,-0.1,0.1,0.18842105263157893,1.007968902598641,873.3976283605452
b_year2023,0.6692931204844568,0.95,0.5641559786749755,0.7773210651191013,1,0.95,-0.1,0.1,0,1.000216430972019,4986.043956395325
b_connectivity_sc:dbh_sc,0.0023688007363973675,0.95,-0.3754498734418045,0.38580130600681745,0.5055,0.95,-0.1,0.1,0.43105263157894735,1.0073934785818646,892.3284740376978
