Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,-1.8233157916548541,0.95,-2.0605140147875094,-1.5970541232426816,1,0.95,-0.1,0.1,0,1.0034049551700421,872.124787488216
b_repro_connectivity_sc,0.2806508965019413,0.95,0.05206298262745561,0.5039368439307352,0.993,0.95,-0.1,0.1,0.034210526315789476,1.0003331584044164,1279.4267564781783
b_non_repro_connectivity_sc,0.04814595861876108,0.95,-0.1760716150104833,0.27666606587916365,0.6615,0.95,-0.1,0.1,0.6044736842105263,1.0047914987785391,1127.962261644489
b_dbh_sc,0.26409804315014807,0.95,0.06181348294968383,0.4610621913144318,0.99275,0.95,-0.1,0.1,0.03736842105263158,1.0071320493366773,815.1816615694132
b_year2023,0.6648787667824638,0.95,0.5545243642027505,0.7726874519369347,1,0.95,-0.1,0.1,0,1.0001050241868727,4236.683053326144
