Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,2.1019717952216155,0.95,1.7288043660465184,2.444810550297437,1,0.95,-0.1,0.1,0,1.0059732372346801,685.5184405545677
b_connectivity_sc,0.3966226728265009,0.95,0.029084206244640642,0.7556431473549841,0.984,0.95,-0.1,0.1,0.029210526315789475,1.002332559182709,1104.5240054998208
b_dbh_sc,0.47020591630331043,0.95,0.06775240333967726,0.8207353184889857,0.99025,0.95,-0.1,0.1,0.0028947368421052633,1.0027758850313078,841.327629061883
