Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,-0.4875948059148744,0.95,-0.7189512063824138,-0.28308573441484464,1,0.95,-0.1,0.1,0,1.0109813451206562,459.55438617571264
b_connectivity_sc,0.1046792625710932,0.95,-0.08322888928142172,0.3046482822371083,0.85375,0.95,-0.1,0.1,0.47710526315789475,1.000967030846347,678.2648826638683
b_dbh_sc,0.08895451381642461,0.95,-0.14437756014713624,0.3158400476986163,0.77875,0.95,-0.1,0.1,0.5076315789473684,1.0066535975642796,524.405097138457
b_year2023,-0.8234095526359968,0.95,-0.905391547660264,-0.739876841013695,1,0.95,-0.1,0.1,0,1.0009441573297087,2621.6319860460017
