Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,-1.183299178867371,0.95,-1.435701327062692,-0.9439444555056384,1,0.95,-0.1,0.1,0,1.0043469668292062,1217.0038488326977
b_repro_connectivity_sc,0.3605076824560366,0.95,0.1248220884491411,0.6376841258787371,0.99525,0.95,-0.1,0.1,0,1.0009370723610542,1852.9764123390553
b_non_repro_connectivity_sc,0.17379790289031072,0.95,-0.08482050277103606,0.4513974772445303,0.90525,0.95,-0.1,0.1,0.27631578947368424,1.000070524276079,1535.279277397961
b_dbh_sc,0.19391053365224484,0.95,-0.04741335359071013,0.4349421863029883,0.946,0.95,-0.1,0.1,0.1957894736842105,1.0007134493921133,1319.5116296097126
