Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,2.107517518587882,0.95,1.7614775821192457,2.4568151625303867,1,0.95,-0.1,0.1,0,1.0168304985494063,500.2955228301767
b_repro_connectivity_sc,0.4412552341757342,0.95,0.06408487726906109,0.7983710755087456,0.98775,0.95,-0.1,0.1,0.011842105263157895,1.0030332233123072,1109.2496683777197
b_dbh_sc,0.43351082972827626,0.95,0.08812236818807653,0.7805136337168449,0.992,0.95,-0.1,0.1,0.0034210526315789475,1.0065846721262226,664.7859318869247
